Time(Instant);ElapsedTime(s);Reference Position (m);Position BASELINE (m);Position Error BASELINE (m);Reference Speed (m/s);Speed BASELINE (m/s);Speed Error BASELINE (m/s)
19:48:39;1783367319.799;581.912000;581.984769;-0.072769;27.163000;27.140685;0.022315
19:48:39;1783367319.799;581.912000;581.984769;-0.072769;27.163000;27.140685;0.022315
19:48:40;1783367320.199;592.801000;592.885541;-0.084541;27.282000;27.261166;0.020834
19:48:40;1783367320.199;592.801000;592.885541;-0.084541;27.282000;27.261166;0.020834
19:48:40;1783367320.799;609.222000;609.289204;-0.067204;27.458000;27.435968;0.022032
19:48:40;1783367320.799;609.222000;609.289204;-0.067204;27.458000;27.435968;0.022032
19:48:41;1783367321.199;620.229000;620.482485;-0.253485;27.574000;27.554529;0.019471
19:48:41;1783367321.199;620.229000;620.482485;-0.253485;27.574000;27.554529;0.019471
19:48:41;1783367321.799;636.826000;637.061390;-0.235390;27.748000;27.726549;0.021451
19:48:41;1783367321.799;636.826000;637.061390;-0.235390;27.748000;27.726549;0.021451
19:48:42;1783367322.199;647.948000;648.215047;-0.267047;27.863000;27.843252;0.019748
19:48:42;1783367322.199;647.948000;648.215047;-0.267047;27.863000;27.843252;0.019748
19:48:42;1783367322.799;664.717000;664.966080;-0.249080;28.031000;28.010005;0.020995
19:48:42;1783367322.799;664.717000;664.966080;-0.249080;28.031000;28.010005;0.020995
19:48:43;1783367323.399;681.583000;681.612084;-0.029084;28.189000;28.169761;0.019239
19:48:43;1783367323.399;681.583000;681.612084;-0.029084;28.189000;28.169761;0.019239
19:48:43;1783367323.799;692.879000;692.897717;-0.018717;28.290000;28.272388;0.017612
19:48:43;1783367323.799;692.879000;692.897717;-0.018717;28.290000;28.272388;0.017612
19:48:44;1783367324.399;709.897000;710.060359;-0.163359;28.434000;28.416357;0.017643
19:48:44;1783367324.399;709.897000;710.060359;-0.163359;28.434000;28.416357;0.017643
19:48:44;1783367324.799;721.288000;721.442873;-0.154873;28.525000;28.508899;0.016101
19:48:44;1783367324.799;721.288000;721.442873;-0.154873;28.525000;28.508899;0.016101
19:48:45;1783367325.399;738.443000;738.658938;-0.215938;28.655000;28.639022;0.015978
19:48:45;1783367325.399;738.443000;738.658938;-0.215938;28.655000;28.639022;0.015978
19:48:45;1783367325.799;749.922000;750.129364;-0.207364;28.740000;28.725511;0.014489
19:48:45;1783367325.799;749.922000;750.129364;-0.207364;28.740000;28.725511;0.014489
19:48:46;1783367326.399;767.204000;767.381293;-0.177293;28.868000;28.852199;0.015801
19:48:46;1783367326.399;767.204000;767.381293;-0.177293;28.868000;28.852199;0.015801
19:48:46;1783367326.799;778.768000;778.936776;-0.168776;28.952000;28.937550;0.014450
19:48:46;1783367326.799;778.768000;778.936776;-0.168776;28.952000;28.937550;0.014450
19:48:47;1783367327.399;796.178000;796.174229;0.003771;29.079000;29.063219;0.015781
19:48:47;1783367327.399;796.178000;796.174229;0.003771;29.079000;29.063219;0.015781
19:48:47;1783367327.799;807.826000;807.814057;0.011943;29.163000;29.148227;0.014773
19:48:47;1783367327.799;807.826000;807.814057;0.011943;29.163000;29.148227;0.014773
19:48:48;1783367328.399;825.362000;825.370470;-0.008470;29.289000;29.273482;0.015518
